All Tomorrows Parties,Apoptygma Berzerk,,The Apopcalyptic Manifesto,,Alternative,8839355,305,,,7,,,14/01/2014 16:45,18/06/2014 14:54,320,44100,,MPEG audio file,,,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:The Apopcalyptic Manifesto:07 All Tomorrows Parties.mp3
ARP,Apoptygma Berzerk,,The Apopcalyptic Manifesto,,Alternative,3712720,232,,,8,,,14/01/2014 16:45,18/06/2014 14:54,128,44100,,MPEG audio file,,,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:The Apopcalyptic Manifesto:08 ARP.mp3
Burnin' Heretic (Album Version,Apoptygma Berzerk,,The Apopcalyptic Manifesto,,Alternative,10073851,332,,,9,,,14/01/2014 16:45,18/06/2014 14:54,128,44100,,MPEG audio file,,,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:The Apopcalyptic Manifesto:09 Burnin' Heretic (Album Version.mp3
Backdraft,Apoptygma Berzerk,,The Apopcalyptic Manifesto,,Alternative,6972395,435,,,11,,,14/01/2014 16:45,18/06/2014 14:54,128,44100,,MPEG audio file,,,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:The Apopcalyptic Manifesto:11 Backdraft.mp3
Ashes To Ashes (Original 12 In,Apoptygma Berzerk,,The Apopcalyptic Manifesto,,Alternative,7436597,248,,,14,,,14/01/2014 16:45,18/06/2014 14:54,128,44100,,MPEG audio file,,,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:The Apopcalyptic Manifesto:14 Ashes To Ashes (Original 12 In.mp3
Wrack'Em To Pieces,Apoptygma Berzerk,,The Apopcalyptic Manifesto,,Alternative,9889472,618,,,15,,,14/01/2014 16:45,18/06/2014 14:54,128,44100,,MPEG audio file,,,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:The Apopcalyptic Manifesto:15 Wrack'Em To Pieces.mp3
Burning Heretics (Crisp Versio,Apoptygma Berzerk,,The Apopcalyptic Manifesto,,Alternative,10229079,373,,,16,,,14/01/2014 16:45,18/06/2014 14:54,128,44100,,MPEG audio file,,,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:The Apopcalyptic Manifesto:16 Burning Heretics (Crisp Versio.mp3
All Tomorrows Parties,Apoptygma Berzerk,,The Apopcalyptic Manifesto,,Gothic,4884480,305,,,,,1998,14/01/2014 16:45,18/06/2014 14:54,128,44100,,MPEG audio file,,#mp3industrial / MLM release,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:The Apopcalyptic Manifesto:All Tomorrows Parties.mp3
Shine On,Apoptygma Berzerk,Apoptygma Berzerk,Black EP,,Electronica/Dance,4016741,200,1,1,4,10,2006,14/01/2014 16:45,18/06/2014 14:54,160,44100,,MPEG audio file,, 00000000 00000210 00000A44 00000000008705AC 00000000 003D314E 00000000 00000000 00000000 00000000 00000000 00000000,29,04/06/2015 11:15,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:Black EP:04 Shine On.mp3
Until the End of the World (Acoustic Version),Apoptygma Berzerk,Apoptygma Berzerk,Black EP,,Electronica/Dance,3680322,183,1,1,10,10,2006,01/08/2014 21:02,01/08/2014 22:11,160,44100,,MPEG audio file,,,9,31/03/2015 21:02,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:Black EP:10 Until the End of the World (Acoustic Version).mp3
